ID,Group,f__AKAU3564_sediment_group,f__Desulfuromonadaceae,g__Citrifermentans,g__Geobacter,o__Dehalococcoidales
SS308,1,14,0,139,121,11
SS309,1,0,0,0,5,0
SS310,1,3,0,0,0,0
SS311,1,8,0,35,20,4
SS317,1,23,0,0,0,46
SS318,1,7,0,82,37,4
SS319,1,0,0,38,78,11
SS322,1,4,0,0,0,0
SS323,1,0,8,6,0,21
SS324,0,0,0,0,0,0
SS273,1,3,215,13,9,5
SS274,1,6,113,85,148,0
SS275,1,0,32,16,0,0
SS363,1,0,43,31,0,0
SS276,1,0,0,33,0,0
SS277,1,0,23,0,0,0
SS278,1,0,13,91,14,0
SS279,1,0,0,0,0,0
SS280,1,0,12,0,0,0
SS281,1,0,0,0,0,3
SS282,1,0,13,0,0,2
SS283,1,0,45,0,0,0
SS284,1,0,0,0,0,4
SS285,1,0,56,5,0,0
SS286,1,5,24,67,16,0
SS287,1,0,0,0,0,0
SS288,1,0,64,9,2,0
SS289,1,0,0,0,2,5
SS290,1,0,0,0,0,0
SS291,1,0,0,19,0,5
SS292,1,0,0,151,0,15
SS266,1,186,69,0,25,13
SS264,1,82,157,43,103,5
SS263,1,99,104,61,43,16
SS262,1,75,74,36,35,9
SS261,1,4,148,60,43,0
SS341,0,0,4,0,51,0
SS340,0,0,0,0,29,0
SS339,0,0,0,0,0,0
SS338,0,0,0,0,0,0
SS337,0,0,0,0,0,0
SS336,0,0,0,0,0,0
SS335,0,0,0,0,0,0
SS334,0,0,0,0,0,0
SS333,0,0,0,0,0,0
SS332,0,0,0,0,0,0
SS331,0,0,0,0,0,0
SS330,0,0,0,0,0,0
SS329,0,0,0,0,0,0
SS328,0,0,0,0,0,0
SS327,0,7,10,0,5,0
SS326,0,0,0,0,0,0
SS325,0,0,0,0,0,0
SS362,0,0,0,0,0,0
SS361,0,0,0,0,0,0
SS360,0,0,0,0,40,0
SS359,0,0,0,0,0,0
SS358,0,0,0,0,0,0
SS357,1,22,2,0,2,5
SS356,0,0,2,14,0,0
SS355,0,0,56,19,74,0
SS354,0,2,0,0,3,0
SS353,0,0,0,0,0,0
SS352,0,0,0,0,0,0
SS351,0,0,20,15,31,0
SS350,0,0,0,0,0,5
SS349,0,0,0,0,0,0
SS348,0,0,0,0,0,0
SS347,0,0,0,0,0,0
SS346,0,8,0,0,0,0
SS345,0,0,0,0,7,0
SS344,0,3,0,0,0,0
SS372,0,0,0,0,0,0
SS373,0,0,0,0,0,0
